Def,Example,Persian,English
"die Adresse, -n",Hast du schon meine neue Adresse?,آدرس(ها),the address(es)
ähnlich,1. Emilia ist in einer ganz ähnlichen Situation wie ich. 2. Oleg sieht seinem Bruder sehr ähnlich.,مشابه,similar
die Ahnung,"Ich hatte keine Ahnung, dass du heute Geburtstag hast.",احساس,the feeling
"die Aktion, -en",Die Stadt sollte eine Aktion für Familien planen.,"عمل، -s","the action, -s"
aktiv,Ich bin sehr aktiv und mache viel Sport.,فعال,active
"die Aktivität, -en",In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktivitäten.,"فعالیت، -s","the activity, -s"
aktuell,Umweltschutz ist ein aktuelles Thema.,فعلی,current
"akzeptieren, akzeptiert, akzeptierte, hat akzeptiert",Ich kann diese Bedingungen nicht akzeptieren.,"پذیرفتن، قبول کردن، پذیرفته شدن، پذیرفته شده است","accept, accepted, accepted, has accepted"
"der Alarm, -e",Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.,"زنگ هشدار، -s","the alarm, -s"
der Alkohol,"1. Du musst die Wunde mit Alkohol reinigen. 2. Nein, danke! Ich trinke keinen Alkohol.",الکل,the alcohol
all-,"1. Sind alle Kinder da? 2. Sonst noch (et)was? – Nein, danke. Das ist alles. 3. Alles Gute!",همه-,all-
allein,"1. Ich gehe nicht gern allein spazieren. 2. Soll ich Ihnen helfen? – Danke, ich schaffe es schon allein. 3. Es war sehr teuer. Allein das Essen hat schon über 50 Euro gekostet.",به تنهایی,alone
aller-,"1. Am allerbesten ist es, wenn du dich ins Bett legst und lange schläfst. Dann wirst du schnell wieder gesund. 2. Das ist das Allerschönste, was ich je gesehen habe.",همه-,all-
allerdings,"Wir können uns morgen treffen, allerdings habe ich erst ab Mittag Zeit.",با این حال,however
allgemein,"1. Wir haben nur über allgemeine Probleme gesprochen. 2. Es ist allgemein bekannt, dass man hier gut essen kann. 3. Im Allgemeinen bin ich mit meiner Arbeit sehr zufrieden.",به طور کلی,generally
der Alltag,"Das ist mein Alltag: putzen, waschen, kochen.",روزمره,the everyday
alltäglich,1. Das alltägliche Leben ist manchmal langweilig. 2. Der Roman erzählt eine ganz alltägliche Geschichte.,روزمره,everyday
"das Alphabet, -e",Wie viele Buchstaben hat das Alphabet in Ihrer Sprache?,"الفبا، -s","the alphabet, -s"
als,"1. Als mein Mann kam, war die Party schon zu Ende. 2. Sie können sich sowohl persönlich als auch im Internet anmelden. 3. Meine Schwester ist älter als ich. 4. Es ist später, als ich dachte.",به عنوان,as
als ob,"Er tut so, als ob wir nie darüber gesprochen hätten.",انگار که,as if
also,"1. Also, die Sache ist so: … 2. Irina hat Urlaub. Sie kann uns also helfen. 3. Also wirklich, jetzt reicht es.",بنابراین,so
alt,1. Wie alt sind Sie? 2. Maria ist eine alte Freundin von mir.,قدیمی,old
das Alter,1. Wir sind etwa im gleichen Alter. 2. Alter: 26 Jahre,سن,the age
"das Altenheim, -e → Altersheim",Die Großeltern unserer Nachbarn sind im Altenheim.,"خانه سالمندان، -s → خانه سالمندان","the retirement home, -s → retirement home"
"das Altersheim, -e → Altenheim",Die Großeltern unserer Nachbarn sind im Altersheim.,"خانه سالمندان، -s → خانه سالمندان","the retirement home, -s → retirement home"
alternativ,Wir brauchen alternative Energien.,جایگزین,alternative
"die Alternative, -n",Auf dieser Strecke ist der Zug eine gute Alternative zum Flugzeug.,"جایگزین، -s","the alternative, -s"
"die Ampel, -n",Dort an der Ampel kannst du über die Straße gehen.,"چراغ راهنمایی، -s","the traffic light, -s"
"das Amt, ¨-er",Das Arbeitsamt befindet sich neben dem Busbahnhof.,"دفتر، -er","the office, -er"
"sich amüsieren, amüsiert sich, amüsierte sich, hat sich amüsiert",Bei dem Fest haben wir uns sehr gut amüsiert.,"خوش گذراندن، خوش گذراندن است، داشت خوش می گذراند، خوش گذرانده است","to have fun, is having fun, was having fun, has had fun"
an,"1. Am Anfang war alles sehr schwierig. 2. Dann sehen wir uns also am Dienstag. 3. Ich warte am Bahnhof auf dich. 4. Am besten, du gehst zur Information und fragst da. 5. Das Licht war die ganze Nacht an.",به,to
"analysieren, analysiert, analysierte, hat analysiert",Die Politiker analysieren die Situation auf dem Arbeitsmarkt.,"تحلیل کردن، تجزیه کردن، تحلیل کردن، تحلیل کرده است","analyze, analyzed, analyzed, has analyzed"
"anbieten, bietet an, bot an, hat angeboten",Darf ich Ihnen etwas zu trinken anbieten?,"پیشنهاد، ارائه می‌دهد، ارائه داده است، ارائه داده است","offer, offers, offered, has offered"
"der Anbieter, -",Ist das ein privater Telefonanbieter?,"ارائه دهنده، -","the provider, -"
"das Angebot, -e",1. Ich habe in der Zeitung ein paar günstige Wohnungsangebote gelesen. 2. Der Käse ist heute im Angebot.,"پیشنهاد، -s","the offer, -s"
ander-,1. Die anderen sind schon nach Hause gegangen. 2. Bitte nicht alle auf einmal! Einer nach dem anderen. 3. Ich hätte gern ein anderes Auto. 4. Natascha hat unter anderem Chinesisch und Spanisch gelernt.,در-,at the-
andererseits,"Tarek möchte zwar studieren, aber andererseits möchte er auch gleich Geld verdienen.",از سوی دیگر,on the other hand
"ändern, ändert, änderte, hat geändert",1. Das Wetter hat sich geändert. 2. Ich habe meine Meinung inzwischen geändert.,"تغییر، تغییر می‌کند، دگرگون شده، تغییر کرده است","change, changes, changed, has changed"
"die Änderung, -en",Es gibt eine Programmänderung.,"تغییر، -s","the change, -s"
anders,1. Anders geht das leider nicht. 2. Oliver ist anders als seine Freunde. 3. Ich würde das anders machen.,متفاوت,different
"anerkennen, erkennt an, erkannte an, hat anerkannt",Meine Ausbildung wird hier nicht anerkannt.,"تشخیص دادن، تشخیص دادن، به رسمیت شناختن، شناخته شده است","to recognize, recognizes, recognized, has recognized"
"anfangen, fängt an, fing an, hat angefangen",1. Wann fängst du mit der Arbeit an? 2. Hier fängt die Bahnhofstraße an.,"آغاز کردن، شروع کردن، شروع کردن، شروع شده است","begin, begins, began, has begun"
"der Anfang, ¨-e","1. Wie war der Film? – Ich habe nur den Anfang gesehen. 2. Am Anfang habe ich bei der Arbeit viele Fragen gestellt. 3. Mein Chef ist Anfang fünfzig. 4. Meine Mutter war von Anfang an dagegen, dass ich nach Berlin ziehe. 5. Wir machen Anfang Juli Ferien. 6. Meine Freundin wohnt am Anfang der Straße.","آغاز، -e","the beginning, -e"
anfangs,Anfangs ging alles gut.,در ابتدا,initially
"angeben, gibt an, gab an, hat angegeben",Bitte geben Sie Ihre genaue Adresse an.,"نشان می‌دهد، نشان می‌دهد، اشاره کرده است، نشان داده است","indicate, indicates, indicated, has indicated"
"die Angabe,-n","Wir brauchen von Ihnen folgende Angaben: Name, Adresse, Geburtsdatum.","اطلاعات، -s","the information, -s"
"der Angehörige, -n die Angehörige, -n",Der Arzt darf nur Familienangehörigen Auskunft geben.,"فامیل، -s فامیل، -s","the relative, -s the relative, -s"
angenehm,Wir wünschen Ihnen eine angenehme Reise.,دلپذیر,pleasant
"die Angst, “-e","1. Du brauchst keine Angst zu haben. Der Hund tut dir nichts. 2. Ich habe Angst, vielleicht ist etwas passiert.","ترس، «-e»","the fear, “-e"
ängstlich,Meine Mutter ist etwas ängstlich. Sie geht nicht gern allein auf die Straße.,ترسان,fearful
"anhaben, hat an, hatte an, hat angehabt",Gestern hatte Julia ein rotes Kleid an.,"پوشیده بودن، پوشیده بودن، پوشیده بودند، پوشیده بودند","to be wearing, has been wearing, had been wearing, had been wearing"
"anklicken, klickt an, klickte an, hat angeklickt",Du musst das Bild anklicken. Dann wird es größer.,"کلیک، کلیک‌ها، کلیک کرده، کلیک کرده است","click, clicks, clicked, has clicked"
"ankommen, kommt an, kam an, ist angekommen","1. Wann kommt der Zug in Hamburg an? 2. Bei dem Spiel kommt es darauf an, schneller zu laufen als die anderen.","رسیدن، رسیدن، رسید، رسیده است","arrive, arrives, arrived, has arrived"
die Ankunft,"1. Die Abfahrt ist um 0.55 Uhr, die Ankunft um 8.07 Uhr. 2. Gleich nach der Ankunft habe ich meine Eltern angerufen.",رسیدن,the arrival
"ankündigen, kündigt an, kündigte an, hat angekündigt",Wir sollten unseren Besuch ankündigen.,"اعلام کردن، اعلام کردن، اعلام کردن، اعلام کرده است","announce, announces, announced, has announced"
"die Anlage, -n",1. Meine Musikanlage ist kaputt. 2. In der Anlage der E-Mail finden Sie meinen Lebenslauf.,"مرکز، -s","the facility, -s"
"die Anleitung, -en","In der Anleitung steht, dass bei diesem Spiel der Älteste beginnt.","دستورالعمل‌ها، -s","the instructions, -s"
"anmelden, meldet an, meldete an, hat angemeldet",Für diesen Kurs müssen Sie sich unbedingt vorher anmelden.,"ثبت کردن، ثبت کردن، ثبت کردن، ثبت کرده است","register, registers, registered, has registered"
"die Anmeldung, -en","1. Wo bekomme ich die Formulare für die Anmeldung? 2. Die Anmeldung ist im Erdgeschoss, Zimmer 55.","ثبت نام، -s","the registration, -s"
"annehmen, nimmt an, nahm an, hat angenommen","1. Ich nehme Ihre Einladung gern an. 2. Ich nehme an, dass Sie mit dem Vorschlag einverstanden sind.","فرض کردن، فرض کردن، فرض کردن، فرض کرده است","assume, assumes, assumed, has assumed"
"die Annonce, -n","Ich habe alle Annoncen gelesen, aber die Wohnungen sind zu teuer.","تبلیغات، -s","the advertisement, -s"
"die Anrede, -n",Du darfst im Brief die Anrede nicht vergessen.,"شکل آدرس، -s","the form of address, -s"
"anrufen, ruft an, rief an, hat angerufen",Ich rufe Sie heute Abend an.,"تماس گرفتن، تماس گرفتن، تماس گرفتن، تماس گرفته شده است","call, calls, called, has called"
"der Anruf, -e",Ich warte auf einen Anruf aus Berlin.,"تماس، -s","the call, -s"
"der Anrufbeantworter, -",Ich habe dir eine Nachricht auf den Anrufbeantworter gesprochen.,"دستگاه پاسخگو، -","the answering machine, -"
"die Ansage, -n",Achten Sie auf die Ansage am Bahnsteig.,"اعلام، -s","the announcement, -s"
"anschaffen, schafft an, schaffte an, hat angeschafft",Wir haben uns neue Möbel angeschafft.,"به دست آوردن، به دست آوردن، اکتساب کردن، به دست آورده است","to acquire, acquires, acquired, has acquired"
"anschließen, schließt an, schloss an, hat angeschlossen",Wo kann ich den Computer anschließen?,"وصل کردن، متصل کردن، متصل کردن، متصل کرده است","connect, connects, connected, has connected"
"der Anschluss, ¨-e",1. In Mannheim haben Sie Anschluss nach Saarbrücken. 2. Ich brauche in meiner Wohnung einen Telefonanschluss.,"اتصال، ¨-e","the connection, ¨-e"
"anschnallen, schnallt an, schnallte an, hat angeschnallt","Vergiss nicht, dich anzuschnallen.","کمربند ایمنی را ببندید، کمربند ایمنی را ببندید، کمربند ایمنی را بسته‌اید، کمربند ایمنی را بسته‌اید","buckle up, buckle up, buckled up, has buckled up"
"ansehen, sieht an, sah an, hat angesehen",1. Warum siehst du mich so erschrocken an? 2. Darf ich eure Urlaubsfotos ansehen?,"نگاه کردن، نگاه می‌کند، نگریسته، نگریسته است","look at, looks at, looked at, has looked at"
"ansprechen, spricht an, sprach an, hat angesprochen",Gestern hat mich unsere neue Nachbarin im Treppenhaus angesprochen.,"آدرس، آدرس‌ها، خطاب، خطاب کرده است","address, addresses, addressed, has addressed"
"der Anspruch, ¨-e",Sie wohnen im Stadtzentrum. Deshalb haben Sie keinen Anspruch auf Fahrgeld.,"ادعا، ¨-e","the claim, ¨-e"
"anstellen, stellt an, stellte an, hat angestellt",1. Können Sie bitte die Heizung anstellen? 2. Mein Schwager ist bei einer Möbelfirma angestellt. 3. Da vorne ist die Kasse. Du musst dich anstellen.,"استخدام کردن، استخدام کردن، استخدام کرده است","to hire, hires, hired, has hired"
"der Angestellte, -n die Angestellte, -n",Björn ist Angestellter in einem Reisebüro.,"کارمند، -s کارمند، -s","the employee, -s the employee, -s"
"sich anstrengen, strengt sich an, strengte sich an, hat sich angestrengt","1. Diese Arbeit strengt mich sehr an. 2. Wenn du die Prüfung schaffen willst, musst du dich mehr anstrengen.","تلاشی کردن، در حال تلاش است، تلاشی کرده است، تلاشی کرده است","to make an effort, is making an effort, made an effort, has made an effort"
anstrengend,Ich finde diese Arbeit sehr anstrengend.,استرس‌زا,stressful
"der Antrag, ¨-e",Haben Sie schon einen Antrag für das Wohngeld ausgefüllt?,"برنامه، ¨-e","the application, ¨-e"
"anwenden, wendet an, wandte an, hat angewandt/angewendet",Diese Salbe muss man dreimal am Tag anwenden.,"اعمال کردن، اعمال کردن، به کار بردن، اعمال کرده است/اعمال کرده است","apply, applies, applied, has applied/applied"
anwesend,Bei dem Treffen waren alle Mitglieder anwesend.,حاضر,present
"antworten, antwortet, antwortete, hat geantwortet",Jorge hat seit drei Wochen nicht auf meinen Brief geantwortet.,"پاسخ، پاسخ می‌دهد، پاسخ داده است، پاسخ داده است","answer, answers, answered, has answered"
"die Antwort, -en",Leider habe ich keine Antwort bekommen.,پاسخ‌ها,the answers
"der Anwalt, ¨-e die Anwältin, -nen",Ich werde das nicht bezahlen. Ich möchte zuerst mit meinem Anwalt sprechen.,"وکیل، -s وکیل زن، -s","the lawyer, -s the female lawyer, -s"
"anzeigen, zeigt an, zeigte an, hat angezeigt","Wenn Sie hier parken, zeige ich Sie an.","نمایش دادن، نشان دادن، نمایش داده شده، نشان داده شده است","display, shows, displayed, has displayed"
"die Anzeige, -n","1. Ich habe alle Anzeigen gelesen, aber die Wohnungen sind zu teuer. 2. Hier dürfen Sie nicht parken, sonst bekommen Sie eine Anzeige.","تبلیغات، -s","the advertisement, -s"
"(sich) anziehen, zieht an, zog an, hat angezogen","1. Du musst dich wärmer anziehen, sonst erkältest du dich. 2. Heute ziehe ich mein neues T-Shirt an.","(لباس پوشیدن)، لباس پوشیدن، لباس پوشیدن، لباس پوشیدن را شروع کرده است","(to) get dressed, gets dressed, got dressed, has gotten dressed"
"der Anzug, ¨-e",Mein Mann hat sich einen neuen Anzug gekauft.,"کت و شلوار، ¨-e","the suit, ¨-e"
"das Apartment, -s",Wir haben ein Ferienapartment gemietet.,"آپارتمان، -s","the apartment, -s"
"der Apfel, ¨-",Zum Frühstück esse ich jeden Tag einen Apfel.,اپل-,the Apple-
"die Apotheke, -n",Ist hier in der Nähe eine Apotheke?,"داروخانه، -s","the pharmacy, -s"
"der Apparat, -e",1. Können Sie den Apparat bitte etwas leiser stellen? 2. Wo ist mein Fotoapparat?,"دستگاه، -s","the apparatus, -s"
der Appetit,1. Ich habe heute keinen Appetit. Ich mag nichts essen. 2. Auf was hast du Appetit? Vielleicht auf einen Salat? 3. Guten Appetit!,اشتها,the appetite
"die Aprikose, -n (D, CH) → A: Marille",Schmecken dir die Aprikosen?,"زردآلو، -s (D، CH) → A: ماریل","the apricot, -s (D, CH) → A: Marille"
"arbeiten, arbeitet, arbeitete, hat gearbeitet",1. Er arbeitet heute bis 16 Uhr. 2. Arzu arbeitet als Krankenschwester im Krankenhaus.,"کار کردن، کار می‌کند، کار کرده، کار کرده است","work, works, worked, has worked"
"die Arbeit, -en",1. Wie gefällt dir deine Arbeit? 2. Nach der Ausbildung hat Mohamed eine Arbeit gefunden.,"کار، -s","the work, -s"
"der Arbeiter, - die Arbeiterin, -nen",Maria ist seit zwei Jahren Arbeiterin bei Siemens.,"کارگر، - کارگر زن، -s","the worker, - the female worker, -s"
die Arbeitserlaubnis,Haben Sie eine Arbeitserlaubnis?,اجازه کار,the work permit
arbeitslos,Wie lange sind Sie schon arbeitslos?,بیکار,unemployed
die Arbeitslosigkeit,Die Arbeitslosigkeit ist gesunken.,بیکاری,unemployment
"der Arbeitsplatz, ¨-e",In der Industrie gibt es immer weniger Arbeitsplätze.,"محل کار، -e","the workplace, -e"
"die Arbeitsstelle, -n",Meine Frau hat eine neue Arbeitsstelle gefunden.,"محل کار، -s","the workplace, -s"
"der Architekt, -en die Architektin, -nen",Dieses Haus hat eine berühmte Architektin gebaut.,"معمار، -s معمار زن، -s","the architect, -s the female architect, -s"
"(sich) ärgern, ärgert, ärgerte, hat geärgert",1. Ärgern Sie sich nicht. 2. Mein Bruder hat mich schon als Kind immer geärgert.,"(رنجیدن)، آزرده خاطر شدن، رنجیده خاطر کردن، آزرده خاطر کرده است","(to) be annoyed, annoyed, annoyed, has annoyed"
der Ärger,Ich hatte heute Ärger im Büro. Ich habe mich mit einem Kollegen gestritten.,دردسر,the trouble
ärgerlich,Der Zug hat schon wieder Verspätung. Das ist wirklich ärgerlich.,آزاردهنده,annoying
arm,1. Die Regierung hilft armen Nachbarländern. 2. Ich hätte gerne 200 g fettarmen Käse.,بازو,arm
"der Arm, -e",Mein Freund hat sich den Arm gebrochen.,فقرا,the poor
"die Art, -en",1. Im Zoo haben sie 34 verschiedene Arten von Vögeln. 2. Seine Art gefällt mir nicht. 3. Man kann auf unterschiedliche Art und Weise ein Fest feiern.,"نوع، -s","the kind, -s"
"der Artikel, -","1. Ich habe einen interessanten Artikel gelesen. 2. Im Deutschen gibt es drei Artikel: der, die, das.","مقاله، -","the article, -"
"der Arzt, ¨-e die Ärztin, -nen",1. Ich muss heute zum Arzt. 2. Wann warst du beim Zahnarzt?,"دکتر، -s پزشک زن، -s","the doctor, -s the female doctor, -s"
das Asyl,Die Menschen sind auf der Flucht und bitten um Asyl.,پناهندگی,asylum
"atmen, atmet, atmete, hat geatmet",Er hat eine Erkältung und kann nicht durch die Nase atmen.,"نفس کشیدن، نفس کشیدن، نفس کشیدن، نفس کشیده شده است","breathe, breathes, breathed, has breathed"
der Atem,Bitte den Atem anhalten.,نفس,the breath
auch,"1. Ich muss leider gehen. – Ich auch. 2. Ich arbeite die ganze Woche und muss auch am Wochenende arbeiten. 3. Wir fahren auf jeden Fall, auch wenn es regnet. 4. Der Zug ist gerade eben abgefahren. Warum kommst du auch so spät!",همچنین,also
auf,"1. Deine Brille liegt auf dem Schreibtisch. 2. Die Kinder spielen unten auf der Straße. 3. Meine Eltern leben auf dem Land. 4. Gestern waren wir auf einer Party. 5. Auf unsere Anzeige in der Abendzeitung hat sich noch niemand gemeldet. 6. Wie heißt das auf Deutsch? 7. Meine Tochter kommt nächstes Jahr aufs Gymnasium. (D) (A, CH: ins) 8. Im Mai war ich auf Urlaub. (A) (D: in) 9. Ich bin schon seit zwei Stunden auf. 10. Komm herein, die Tür ist auf. (D) (A, CH: offen)",روی,on
"der Aufenthalt, -e",1. Der Zug hat in München nur 20 Minuten Aufenthalt. 2. Wir wünschen Ihnen einen angenehmen Aufenthalt.,"ماندن، -s","the stay, -s"
"auffallen, fällt auf, fiel auf, ist aufgefallen","Mir ist aufgefallen, dass Harriett ganz blass ist.","برجسته شدن، برجسته شدن، مورد توجه قرار گرفتن، مورد توجه قرار گرفته است","to stand out, stands out, was noticed, has been noticed"
"auffordern, fordert auf, forderte auf, hat aufgefordert","1. Sie forderte mich auf, meine Meinung zu sagen. 2. Er fordert sie zum Tanz auf.","درخواست کردن، درخواست کردن، درخواست کردن، درخواست کرده است","to request, requests, requested, has requested"
"die Aufforderung, -en","Sie erhalten eine Aufforderung, den Betrag bis Juni zu zahlen.","درخواست، -s","the request, -s"
"aufführen, führt auf, führte auf, hat aufgeführt",Die Kinder führen zu Weihnachten ein Theaterstück auf.,"فهرست کردن، فهرست کردن، فهرست کردن، فهرست کرده است","list, lists, listed, has listed"
"die Aufgabe, -n",1. Hast du deine Hausaufgaben für die Schule schon gemacht? 2. Das ist nicht meine Aufgabe.,"وظیفه، -s","the task, -s"
"aufgeben, gibt auf, gab auf, hat aufgegeben",1. Ich habe auf der Post ein Paket aufgegeben. 2. Man darf nie aufgeben. Es gibt immer eine Hoffnung.,"تسلیم شدن، انصراف دادن، وانهادن، منصرف شدن","to give up, gives up, gave up, has given up"
"aufhalten, hält auf, hielt auf, hat aufgehalten","1. Wo hält er sich gerade auf? – In München. 2. Darf ich Ihnen die Tür aufhalten? 3. Entschuldigen Sie die Verspätung, ich wurde aufgehalten.","متوقف کردن، متوقف می‌شود، متوقف شده است، متوقف شده است","to stop, stops, stopped, has stopped"
"aufheben, hebt auf, hob auf, hat aufgehoben","1. Lassen Sie die Papiere nur auf dem Boden liegen, ich hebe sie schon auf. 2. Die Quittung müssen Sie gut aufheben.","برداشتن، برداشتن، برداشتن، برداشته است","pick up, picks up, picked up, has picked up"
"aufhören, hört auf, hörte auf, hat aufgehört",1. Es hört nicht auf zu schneien. 2. Wann hört ihr mit der Arbeit auf? 3. Hier hört die Hauptstraße auf.,"ایست، ایست، متوقف شد، متوقف شده است","stop, stops, stopped, has stopped"
"aufladen, lädt auf, lud auf, hat aufgeladen",Ich muss mein Telefon aufladen. Die Batterie ist leer.,"اتهام، اتهام، متهم کردن، متهم کرده است","charge, charges, charged, has charged"
"auflösen, löst auf, löste auf, hat aufgelöst",Die Tablette bitte in Wasser auflösen.,"حل کردن، حل کردن، حل کردن، حل کرده است","dissolve, dissolves, dissolved, has dissolved"
aufmerksam,"1. Die Schülerin hörte aufmerksam zu. 2. Ich mache Sie darauf aufmerksam, dass wir in einer halben Stunde schließen.",با توجه,attentive
"aufnehmen, nimmt auf, nahm auf, hat aufgenommen",1. Wir haben Aneta in unseren Verein aufgenommen. 2. Ich habe den Film im Urlaub aufgenommen.,"ثبت، سوابق، ثبت شده، ثبت کرده است","record, records, recorded, has recorded"
"die Aufnahme, -n",Bitte seid leise! – Ich starte die Aufnahme.,"ضبط، -s","the recording, -s"
"aufpassen, passt auf, passte auf, hat aufgepasst",1. Tut mir leid. Da habe ich wohl nicht aufgepasst. 2. Ich muss zu Hause bleiben und auf die Kinder aufpassen.,"توجه کردن، مراقب بودن، زیر نظر داشتن، تماشا کردن","pay attention, watch out, watched out, has been watching"
